Abies alba;"De l'étage montagnard à l'étage subalpin. Exige une humidité atmosphérique élevée et constante tout au long de l'année ; sur des substrats cristallins, bien drainés à localement humides mais non engorgés, plus ou moins acides. Généralement sous forme de peuplements monospécifiques (conséquences de la gestion) ou en mélange avec le Hêtre (ou le Chêne à l'étage collinéen) sur substrat volcanique ou cristallin, bien drainé et plus ou moins acide ; parfois en situation abyssale et confinée, froide et humide, dans le Forez notamment."
Abies cephalonica;associations arborescentes climaciques des forêts sempervirentes, aciculifoliées, oroméditerranéennes orientales, balcaniques
Abies concolor;associations arborescentes climaciques des forêts sempervirentes, aciculifoliées, du tempéré froid boréal de la Taïga nord-américaine
Abies grandis;Aux étages collinéen et montagnard. En contexte ensoleillé à semi-ombragé, froid, à humidité atmosphérique importante, sur des substrats frais à moyennement secs, de préférence argilo-limoneux ou limoneux.
Abies nordmanniana;Aux étages collinéen et montagnard. En situations assez chaudes et ensoleillées, sur des substrats relativement secs, plus ou moins riches en nutriments. Espèce très résistante au froid. Dans les hêtraies.
Abies numidica;L’espèce est susceptible de se naturaliser dans les forêts méditerranéo-montagnardes, mais à priori pas dans la région.
Abies pinsapo;associations arborescentes climaciques des forêts sempervirentes, aciculifoliées, oroméditerranéennes occidentales, ibériques
Abutilon theophrasti;Plante héliophile des ambiances sèches et chaudes à basse altitude, poussant sur des sols calcaires riches en nutriments, bien drainés et régulièrement perturbés : culture, friches, décombres, bords de routes, chemins…
Acacia baileyana;forêts tropicales tropophiles d'Australie
Acacia dealbata;forêts tropicales tropophiles d'Australie
Acacia longifolia;forêts tropicales tropophiles d'Australie
Acacia mearnsii;forêts tropicales tropophiles d'Australie
Acacia melanoxylon;forêts tropicales tropophiles d'Australie
Acacia pycnantha;forêts tropicales tropophiles d'Australie
Acacia retinodes;forêts tropicales tropophiles d'Australie
Acacia saligna;forêts tropicales tropophiles d'Australie
Acanthoprasium frutescens;lithophytes héliophiles des replats de falaises basophiles, orophiles, ligures
Acanthus mollis;friches vivaces mésohydriques, thermophiles, euryméditerranéennes, héliophiles
Acer campestre;Plante des bois de basse et moyenne altitude, des haies, sur sols assez frais et riches.
Acer cappadocicum;De l’étage planitiaire à l’étage collinéen inférieur (0-400 m). Cette espèce est observée en situation ombragée, sur substrat relativement humide, en forêt, essentiellement sur les berges de cours d'eau lorsqu'elle se naturalise.
Acer monspessulanum;Plante des boisements secs et chauds, à basse et moyenne altitude (jusque vers 1 300 m), lisières, haies.
Acer negundo;Naturalisé dans les ripisylves au sein des saulaies-peupleraies ou aulnaies-frênaies généralement dégradées. Parfois en bord de chemin ou en friche urbaine.
Acer opalus;Boisements clairs, corniches et lisières, de la plaine au sommet de l'étage montagnard (200 à 1 800 m d'altitude), sur des sols riches en bases et secs.
Acer platanoides;Boisements frais, forêts riveraines, forêts de ravins, depuis l'étage collinéen jusqu'au montagnard (200 à 1 500 m d'altitude), sur des sols plutôt riches en bases et en éléments minéraux (azote). Bois de feuillus (hêtraies neutrophiles, chênaies-charmaies...) mésophiles sur sols faiblement acides.
Acer pseudoplatanus;"Boisements frais, haies, accrues, milieux rudéralisés, depuis l'étage collinéen jusqu'au subalpin (200- 1 900 m), sur sols riches à assez riches en bases et en éléments minéraux, aérés. Hêtraies et hêtraies-sapinières sur humus doux à faiblement acide, parfois dans les aulnaies-frênaies et les chênaies fraîches aux étages inférieurs ; se comporte parfois en espèce pionnière dans les trouées intraforestières. Considérée comme une espèce caractéristique des forêts de ravins et des hêtraies subalpines à sous-bois de mégaphorbiaies, elle est cependant relativement peu représentée dans ces formations en Auvergne."
Acer saccharinum;associations arborescentes climaciques caducifoliées malacophylles des forêts du tempéré modal nord-est américain
Acer x;associations arborescentes des forêts et bois caducifoliés climaciques, malacophylles, du tempéré modal médio-européen, sub/supraméditerranéen
Achillea ageratum;Plante héliophile des ambiances chaudes poussant sur des sols argileux relativement riches en calcaire (marnes) humides en hiver à l'étage mésoméditerranéen : pelouses, friches herbacées.
Achillea atrata;Rochers et éboulis calcaires et de schistes calcaires frais d'ubac aux étages subalpin et alpin. Également dans des pelouses de fixation d'éboulis.
Achillea chamaemelifolia;grpts vivaces des éboulis médio-européens, acidophiles, orophiles, pyrénéens
Achillea collina;pelouses basophiles centro-européennes, steppiques
Achillea crithmifolia;Pelouses sèches plus ou moins rudéralisées en bord de routes et de chemins.
Achillea distans;Large gamme de milieux frais à l'étage subalpin : pelouses, prairies, ourlets, mégaphorbiaies et mélézins frais.
Achillea erba-rotta;Pelouses rocailleuses et éboulis siliceux de blocs moyens des étages subalpin supérieur et alpin, bien exposés au soleil.
Achillea filipendulina;friches vivaces mésohydriques, médio-européennes
Achillea ligustica;pelouses basophiles méditerranéennes, mésoxérophiles à mésohydriques
Achillea macrophylla;Prairies à hautes herbes, faciès frais des forêts montagnardes et subalpines. Présente dans les mégaphorbiaies, sapinières, pessières, mélézins, cembraies, pineraies à pin à crochets, aulnaies vertes. Étages montagnard et subalpin, de 900 à 2 000 m d'altitude avec un optimum à l'étage subalpin. Espèce de demi-ombre (voire héliophile) et affectionnant les sols à bonne réserve en eau (hygrocline). Se rencontre sur sols neutres à légèrement acides.
Achillea maritima;végétation vivace des dunes maritimes thermophiles, bordières à mobiles
Achillea millefolium;Espèce sciaphile des friches, pâtures, prairies de fauche, pelouses mésophiles, prés, bois, bords des chemins. Pelouses mésoxérophiles à mésophiles, prairies de fauche, talus et bermes routières.
Achillea nana;Éboulis acides ou pauvres en calcaire, mouvants à plus ou moins stabilisés de l'étage alpin.
Achillea nobilis;Pelouses steppiques et ourlets thermophiles, des régions à climat contrasté, sur sols plutôt basiques (mais avec une assez large amplitude) et pauvres en éléments minéraux, aux étages supraméditerranéen et montagnard.
Achillea odorata;Pelouses, rocailles, ourlets, boisements clairs, essentiellement sur sols calcaires, aux étages supraméditerranéen, collinéen et montagnard.
Achillea ptarmica;Prairies humides, inondables, mégaphorbiaies, ourlets frais, sur sols riches en éléments nutritifs et assez frais, à l'étage collinéen et montagnard. En montagne, dans les prairies humides, les complexes tourbeux ou les bords de ruisseaux à eaux oligotrophes. À plus basse altitude, dans les prairies fraîches bordant les ruisseaux et les plans d'eau et parfois sur les terrasses sablonneuses des bords de l'Allier.
Achillea roseo-alba;Prairies mésophiles à hygrophiles, sur sol plutôt calcaire, pauvre en élément minéraux et nutriments, aux étages supraméditerranéen à la base du montagnard.
Achillea tomentosa;Pelouses et coteaux rocheux secs et chauds sur sol acide. De l'étage collinéen à montagnard.
Achnatherum bromoides;pelouses basophiles méditerranéennes, mésoxérophiles à mésohydriques
Achnatherum calamagrostis;Espèce xérophile et thermophile des pentes rocailleuses et éboulis calcaires. Également développée sur alluvions sèches.
Acis fabrei;pelouses basophiles mésoméditerranéennes, mésoxérophiles
Acis longifolia;pelouses acidophiles méditerranéennes
Acis nicaeensis;pelouses basophiles mésoméditerranéennes, mésoxérophiles
Acis rosea;pelouses basophiles thermoméditerranéennes, maritimes, corso-sardes
Aconitum anthora;De l'étage collinéen jusqu'à l'étage subalpin, avec un optimum entre 1 400 et 1 800 m d'altitude. Affectionne les pelouses rocailleuses et bien ensoleillées, les éboulis ou les lisières forestières, sur substrat calcaire.
