NOM_SCIENTIFIQUE;Humidité_atmosphérique;Humidité_édaphique;Réaction_du_sol_(pH);Lumière;Texture;Matière_organique;Température;Continentalité;Niveau_trophique;Salinité;CC Rhoméo
Abies alba Mill. ;7;5;5;7;2;5;3;7;6;0;3
Abies cephalonica Loudon;4;4;6;8;3;3;7;4;5;0;0
Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.;5;5;4;7;3;3;4;5;5;0;0
Abies grandis (Douglas ex D.Don) Lindl.;6;5;4;7;3;5;4;5;5;0;0
Abies nordmanniana (Steven) Spach;6;5;4;7;3;5;4;5;5;0;0
Abies numidica Lannoy ex Carrière;5;5;5;7;4;4;3;4;5;0;0
Abies pinsapo Boiss.;4;4;7;8;3;3;7;5;4;0;0
Abutilon theophrasti Medik.;4;4;8;8;3;2;7;3;6;0;0
Acacia baileyana F.Muell.;3;4;6;8;4;3;8;4;5;0;0
Acacia dealbata Link;3;4;6;8;4;3;8;4;5;0;0
Acacia longifolia (Andrews) Willd.;3;4;6;8;4;3;8;4;5;0;0
Acacia mearnsii De Wild.;3;4;6;8;4;3;8;4;5;0;0
Acacia melanoxylon R.Br.;3;4;6;8;4;3;8;4;5;0;0
Acacia pycnantha Benth.;3;4;6;8;4;3;8;4;5;0;0
Acacia retinodes Schltdl.;3;4;6;8;4;3;8;4;5;0;0
Acacia saligna (Labill.) H.L.Wendl.;3;4;6;8;4;3;8;4;5;0;0
Acanthoprasium frutescens (L.) Spenn.;6;5;8;4;8;1;5;6;4;0;4
Acanthus mollis L. ;3;4;8;7;3;2;8;3;8;0;0
Acer campestre L.;4;5;7;8;3;3;6;5;5;0;1
Acer cappadocicum Gled.;7;7;6;7;3;3;5;5;6;0;0
Acer monspessulanum L.;4;4;7;8;2;3;8;3;5;0;1
Acer negundo L.;7;7;7;8;2;8;6;6;7;0;0
Acer negundo L. subsp. negundo;7;7;7;8;2;8;6;6;7;0;0
Acer opalus Mill. ;6;4;7;7;3;2;7;4;5;0;1
Acer opalus Mill. subsp. opalus;6;4;7;7;3;2;7;4;5;0;1
Acer opalus subsp. obtusatum (Waldst. & Kit. ex Willd.) Gams;4;4;7;8;2;2;8;4;4;0;1
Acer platanoides L. ;7;5;5;7;2;3;5;5;6;0;3
Acer platanoides L. subsp. platanoides;7;5;5;7;2;3;5;5;6;0;3
Acer pseudoplatanus L.;6;5;5;7;3;3;5;5;7;0;3
Acer saccharinum L.;5;5;5;7;3;3;5;4;5;0;0
Achillea ageratum L.;7;7;6;8;3;8;8;3;6;0;6
Achillea atrata L.;5;5;8;7;7;1;2;7;3;0;3
