F0101;Glaciers blancs, noirs et pierreux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0102;Névés permanents ou temporaires;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0201;Grottes et milieu cavernicole;Adiantum capillus-veneris;Asplenium ruta-muraria;Asplenium trichomanes subsp. pachyrachis;Cystopteris fragilis;Cystopteris montana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0202;Parois siliceuses à androsace imbriquée (Androsace vandellii), des étages montagnard à nival;Alchemilla saxatilis;Androsace vandellii;Artemisia eriantha;Artemisia umbelliformis;Asplenium septentrionale;Atocion rupestre;Bupleurum stellatum;Cardamine plumieri;Cardamine resedifolia;Draba dubia;Draba fladnizensis;Erigeron schleicheri;Eritrichium nanum;Festuca acuminata;Festuca halleri;Gagea serotina;Huperzia selago;Juncus trifidus;Phyteuma hemisphaericum;Poa laxa;Poa nemoralis var. glauca;Primula hirsuta;Primula latifolia subsp. graveolens;Primula pedemontana;Saxifraga bryoides;Saxifraga cotyledon;Saxifraga exarata;Saxifraga retusa;Sempervivum montanum;Viola biflora;Woodsia alpina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0203;Parois siliceuses ensoleillées médio-européennes à doradille du nord (Asplenium septentrionale), des étages collinéen et montagnard;Alyssoides utriculata;Artemisia campestris;Asplenium adiantum-nigrum;Asplenium septentrionale;Asplenium trichomanes;Atocion armeria;Atocion rupestre;Avenella flexuosa;Biscutella laevigata;Campanula rotundifolia;Dianthus saxicola;Epilobium collinum;Festuca acuminata;Festuca laevigata;Gypsophila repens;Hieracium amplexicaule;Hieracium schmidtif;Hylotelephium maximum;Kernera saxatilis;Minuartia laricifolia;Polypodium vulgare;Potentilla caulescens;Teucrium scorodonia;Woodsia alpina;Woodsia ilvensis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0204;Parois rocheuses siliceuses supraméditerranéennes et subatlantiques à nombril de Vénus (Umbilicus rupestris) et à doradilles (Asplenium foreziense A. septentrionale);Anarrhinum bellidifolium;Asplenium adiantum-nigrum;Asplenium ceterach;Asplenium foreziense;Asplenium septentrionale;Asplenium trichomanes;Draba muralis;Festuca arvernensis;Hylotelephium maximum;Paragymnopteris marantae;Polypodium cambricum;Polypodium interjectum;Saxifraga fragosor;Sedum hirsutum;Sedum rupestre;Sempervivum tectorum;Umbilicus rupestris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0205;Parois rocheuses calcaires méditerranéennes thermophiles à doradille de Pétrarque (Asplenium petrarchae) et à phagnalon repoussant (Phagnalon sordidum);Allosorus acrosticus;Antirrhinum majus subsp. latifolium;Asplenium ceterach;Asplenium petrarchae;Asplenium ruta-muraria;Asplenium trichomanes;Brassica montana;Campanula rotundifolia;Centranthus lecogii;Euphorbia characias;Jacobaea maritima;Juniperus phoenicea;Melica amethystina;Minuartia rostrata;Phagnalon sordidum;Pistacia terebinthus;Rhamnus alaternus;Sedum dasyphyllum;Thymus vulgaris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0206;Parois rocheuses calcaires sèches et ensoleillées à humides et ombragées des étages collinéen et submontagnard;Asplenium ceterach;Asplenium fontanum;Asplenium ruta-muraria;Asplenium scolopendrium;Asplenium trichomanes;Asplenium trichomanes subsp. quadrivalens;Campanula cochleariifolia;Cardamine impatiens;Cystopteris fragilis;Geranium robertianum;Lactuca muralis;Moehringia trinervia;Polypodium interjectum;Polypodium vulgare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0207;Parois rocheuses calcaires sèches et ensoleillées à semi-ombragées des étages montagnard à alpin;Androsace helvetica;Androsace pubescens;Arabis bellidifolia subsp. stellulata;Artemisia umbelliformis;Bupleurum petraeum;Chaenorrhinum origanifolium;Daphne alpina;Draba aizoides;Draba siliquosa;Draba tomentosa;Erinus alpinus;Festuca alpina;Helictotrichon setaceum;Hieracium amplexicaule;Hieracium glaucum;Hieracium humile;Hieracium lawsonil;Hieracium tomentosum;Hypericum nummularium;Kernera saxatilis;Minuartia villarii;Phyteuma charmelii;Potentilla caulescens;Potentilla nitida;Potentilla nivalis;Primula lutea;Rhamnus pumila;Saxifraga caesia;Saxifraga delphinensis;Saxifraga diapensioides;Saxifraga moschata;Saxifraga muscoides;Saxifraga paniculata;Saxifraga valdensis;Silene saxifraga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0208;Parois rocheuses calcaires sèches et ensoleillées à semi-ombragées liguro-provençales des étages supraméditerranéen à alpin;Amelanchier ovalis;Antirrhinum majus subsp. latifolium;Aquilegia reuteri;Arabis collina;Asplenium jahandiezii;Asplenium ruta-muraria;Asplenium trichomanes;Bupleurum petraeum;Campanula rotundifolia subsp. macrorhiza;Erinus alpinus;Euphorbia spinosa;Globularia repens;Hormathophylla halimifolia;Hypericum coris;Jacobaea maritima;Juniperus phoenicea;Juniperus thurifera;Kernera saxatilis;Minuartia villarii;Moehringia intermedia;Moehringia sedoides;Phyteuma villarsii;Potentilla caulescens;Primula marginata;Saxifraga lantoscana;Saxifraga paniculata;Sedum dasyphyllum;Sedum fragrans;Sempervivum calcareum;Silene saxifraga;Thymelaea dioica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F0209;Parois calcaires humides, fraîches et ombragées des étages montagnard à alpin;Androsace lactea;Arabis alpina;Asplenium fontanum;Asplenium viride;Bellidiastrum michelii;Campanula cochleariifolia;Carex brachystachys;Cystopteris alpina;Cystopteris fragilis;Cystopteris montana;Festuca pumila;Geranium robertianum;Heliosperma pusillum;Moehringia muscosa;Phyteuma orbiculare;Pinguicula alpina;Pinguicula grandiflora;Polypodium vulgare;Polystichum lonchitis;Primula lutea;Ranunculus alpestris;Saxifraga paniculata;Saxifraga rotundifolia;Sesleria caerulea;Viola biflora;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
